店铺名称,区域,人均消费,菜品分类,口味评分,环境评分,服务评分,分店名称,所在的城市
小海堂,亮马桥/三元桥,226,粤菜馆,9.1,9.1,9.0,蓝色港湾店,北京
青山研究所Aoyama Lab,三里屯,63,甜品,7.7,8.5,8.2,,北京
小大董,五棵松,144,京菜,9.1,9.1,9.2,五棵松华熙LIVE店,北京
第六季自助餐厅,王府井/东单,267,自助餐,9.1,9.2,9.3,王府井店,北京
罗兰湖餐厅,酒仙桥,206,韩国料理,8.7,9.3,9.1,,北京
就在四楼,次渠,84,西餐,9.1,9.2,9.1,樞密院店,北京
炉鲜张打边炉,安贞,127,打边炉/港式火锅,9.1,9.0,9.1,,北京
行运打边炉,工人体育场,282,打边炉/港式火锅,9.1,8.7,8.7,工体店,北京
KODO可多 Gift&Cafeteria,地安门,87,咖啡厅,8.2,9.0,8.6,,北京
黑天鹅法餐·下午茶,首都机场,287,法国菜,9.1,9.4,9.3,杨林旗舰店,北京
宣南居餐厅,北京西站/六里桥,40,家常菜,9.0,8.2,8.7,,北京
欧记专业麻辣烫,朝阳公园/团结湖,39,麻辣烫,8.2,7.2,7.4,,北京
付小姐在成都,南锣鼓巷/鼓楼东大街,85,串串香,9.0,8.7,8.9,南锣鼓巷店,北京
虾湘传奇,三里屯,147,小龙虾,8.6,8.5,8.6,三里屯店,北京
京兆尹,雍和宫/地坛,670,素食,9.2,9.4,9.3,,北京
大董,三里屯,449,烤鸭,9.0,9.2,9.0,工体店,北京
Yao·望COFFEE,望京,71,咖啡厅,8.6,9.0,9.1,,北京
ATTA BJ,国贸,262,意大利菜,8.1,9.1,8.5,国贸商城店,北京
牛排家,三里屯,387,牛排,9.1,9.3,9.1,三里屯店,北京
筑底食堂,三里屯,160,日本料理,8.7,8.2,8.5,三里屯一店,北京
Green Option,亮马桥/三元桥,94,西餐,9.2,9.1,9.1,官舍店,北京
感性食堂·국가대포집,望京,86,韩国料理,8.6,8.6,9.1,,北京
俄士厨房,五棵松,141,俄罗斯菜,9.1,9.1,9.0,五棵松华熙LIVE店,北京
花家怡园,北新桥/簋街,185,京菜,8.2,8.9,8.2,四合院总店,北京
白家大院,苏州桥,468,其他中餐,8.4,9.3,9.1,,北京
THE TACO BAR,三里屯,140,西餐,9.2,9.0,9.0,,北京
曲廊院,东四,541,创意菜,9.0,9.3,9.3,,北京
牛九分中式牛大排,大望路,107,福建菜,9.0,8.8,9.0,合生汇店,北京
门框胡同百年卤煮,新街口,46,老北京小吃,8.8,8.1,8.2,新街口店,北京
伊豆野菜村,复兴门,158,日式火锅,9.1,9.1,9.0,金融街购物中心店,北京
SPACELAB失重餐厅,蓝色港湾,145,西餐,8.0,9.1,8.7,蓝色港湾店,北京
京旬日式料理,东直门,400,日式自助,9.1,9.2,9.0,,北京
奈雪の茶,西单,37,面包烘焙,8.3,8.2,8.3,西单大悦城店,北京
北平花园,前门,229,西餐,8.4,9.2,8.9,天安门店,北京
伙伴日式烤肉,东直门,156,日式烧烤/烤肉,9.1,9.1,9.1,,北京
新云南皇冠假日酒店·长街西餐厅,太阳宫,247,自助餐,8.3,9.1,9.1,,北京
锦府盐帮•李宅,中关村,126,自贡盐帮菜,9.1,9.3,9.2,中关村欧美汇店,北京
Home Thai·泰谣,西单,148,泰国菜,8.8,8.8,9.0,西单大悦城店,北京
美味斋,广内大街,90,上海本帮菜,8.3,8.4,8.1,,北京
局气,新街口,125,烤鸭,8.8,9.2,9.1,德云社店,北京
Q Mex Bar & Grill库迈墨西哥餐吧,三里屯,139,西餐,9.1,9.0,9.0,三里屯店,北京
隐厨,三里屯,152,湘菜,8.9,9.2,9.0,三里屯通盈中心店,北京
老西安饭庄,新街口,63,陕西菜,8.5,7.5,7.4,新街口南大街店,北京
Toast at The Orchid,南锣鼓巷/鼓楼东大街,152,西餐,8.3,9.1,8.8,,北京
蚂蚁圈圈·奇幻森林,大望路,116,创意菜,8.2,9.1,8.7,合生汇店,北京
三五堂,国贸,172,自助餐,8.4,9.1,8.9,新国贸饭店店,北京
后海16号私房菜·露台小火锅,什刹海,171,私房菜,8.8,9.1,9.1,,北京
天坛街自助餐厅,崇文门,121,自助餐,8.3,9.1,9.0,,北京
聚宝源,牛街,112,老北京火锅,9.1,8.0,8.0,牛街总店,北京
西四包子铺,西四,30,包子,7.9,7.3,7.4,西城区总店,北京
TRIPLE P,三里屯,36,茶饮果汁,8.1,8.4,9.0,三里屯店,北京
御仙都·皇家菜博物馆,四季青,329,京菜,8.7,9.3,9.1,,北京
菊儿人家,南锣鼓巷/鼓楼东大街,48,老北京小吃,8.0,7.8,8.4,,北京
鲸一食堂,望京,106,日本料理,8.7,8.5,8.6,麒麟新天地店,北京
攀成钢小郡肝串串香,五道口,113,串串香,9.2,9.0,9.1,海淀直营总店,北京
LELECHA乐乐茶,百子湾,35,面包烘焙,8.5,8.3,8.2,合生汇店,北京
西单小院,西单,76,京菜,8.2,8.2,8.3,,北京
电台巷火锅,三里屯,144,重庆火锅,8.5,8.3,8.5,三里屯店,北京
兰熊鲜奶,西直门/动物园,20,茶饮果汁,9.1,8.8,9.0,,北京
Bada kitchen,中关村,122,日本料理,9.0,9.2,9.3,,北京
八旗烤肉,什刹海,98,融合烤肉,9.2,8.6,9.1,什刹海店,北京
The Cheesecake Factory 芝乐坊餐厅,王府井/东单,200,西餐,9.0,9.0,8.9,王府中環店,北京
北27號·手禾火,三里屯,83,烤串,8.8,9.2,9.2,,北京
小吊梨汤,王府井/东单,95,京菜,9.0,9.2,9.1,王府井银泰in88店,北京
點卯,芍药居,30,小吃快餐,8.9,8.9,8.9,,北京
Rodeo西部牛仔精酿啤酒餐吧,朝阳公园/团结湖,259,牛排,8.2,9.1,8.4,,北京
铃木食堂,前门,95,日本料理,9.0,9.1,9.0,前门店,北京
喜茶,五棵松,40,茶饮果汁,9.2,9.2,9.2,五棵松华熙热麦店,北京
成都葫芦娃一家人火锅,三里屯,155,四川火锅,9.0,9.1,8.8,三里屯店,北京
盘古七星酒店·聚福园自助餐厅,亚运村,672,自助餐,8.2,9.0,9.0,,北京
